"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Series.Name","AvgValue"
"Region of the Americas",2002,0,5.74,0.38,0.89,"People using safely managed sanitation services (% of population)",42.1269523841176
"Region of the Americas",2002,0,5.74,0.38,0.89,"Population density (people per sq. km of land area)",124.214706177528
"Region of the Americas",2002,0,5.74,0.38,0.89,"Population, total",23699974.7222222
"Region of the Americas",2002,0,5.74,0.38,0.89,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",31.7321803448077
"Region of the Americas",2003,0,5.66,0.37,0.86,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.6932752554444
"Region of the Americas",2003,0,5.66,0.37,0.86,"People practicing open defecation (% of population)",7.27267906507407
"Region of the Americas",2003,0,5.66,0.37,0.86,"People using at least basic drinking water services (% of population)",89.9185256574074
"Region of the Americas",2003,0,5.66,0.37,0.86,"People using at least basic sanitation services (% of population)",78.6635929235714
"Region of the Americas",2003,0,5.66,0.37,0.86,"People using safely managed drinking water services (% of population)",62.5904974371429
"Region of the Americas",2003,0,5.66,0.37,0.86,"People using safely managed sanitation services (% of population)",42.4512842188235
"Region of the Americas",2003,0,5.66,0.37,0.86,"Population density (people per sq. km of land area)",125.14549209125
"Region of the Americas",2003,0,5.66,0.37,0.86,"Population, total",23969686.4444444
"Region of the Americas",2003,0,5.66,0.37,0.86,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",32.219810874
"Region of the Americas",2004,0,5.58,0.37,0.82,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.874946684963
"Region of the Americas",2004,0,5.58,0.37,0.82,"People practicing open defecation (% of population)",6.94817885566667
"Region of the Americas",2004,0,5.58,0.37,0.82,"People using at least basic drinking water services (% of population)",90.3140385588889
"Region of the Americas",2004,0,5.58,0.37,0.82,"People using at least basic sanitation services (% of population)",79.1803637128571
"Region of the Americas",2004,0,5.58,0.37,0.82,"People using safely managed drinking water services (% of population)",62.9886240664286
"Region of the Americas",2004,0,5.58,0.37,0.82,"People using safely managed sanitation services (% of population)",42.8854370494118
"Region of the Americas",2004,0,5.58,0.37,0.82,"Population density (people per sq. km of land area)",126.031400380389
"Region of the Americas",2004,0,5.58,0.37,0.82,"Population, total",24241831.1666667
"Region of the Americas",2004,0,5.58,0.37,0.82,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",33.0355370862308
"Region of the Americas",2005,0,5.47,0.37,0.78,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.4965280146296
"Region of the Americas",2005,0,5.47,0.37,0.78,"People practicing open defecation (% of population)",6.62705003192593
"Region of the Americas",2005,0,5.47,0.37,0.78,"People using at least basic drinking water services (% of population)",90.7031601174074
"Region of the Americas",2005,0,5.47,0.37,0.78,"People using at least basic sanitation services (% of population)",79.72967741
"Region of the Americas",2005,0,5.47,0.37,0.78,"People using safely managed drinking water services (% of population)",63.3874533442857
"Region of the Americas",2005,0,5.47,0.37,0.78,"People using safely managed sanitation services (% of population)",43.2805508347059
"Region of the Americas",2005,0,5.47,0.37,0.78,"Population density (people per sq. km of land area)",126.556216564833
"Region of the Americas",2005,0,5.47,0.37,0.78,"Population, total",24510442.75
"Region of the Americas",2005,0,5.47,0.37,0.78,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",33.9925730300769
"Region of the Americas",2006,0,5.27,0.37,0.75,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.6157410315185
"Region of the Americas",2006,0,5.27,0.37,0.75,"People practicing open defecation (% of population)",6.31001500396296
"Region of the Americas",2006,0,5.27,0.37,0.75,"People using at least basic drinking water services (% of population)",91.0873016214815
"Region of the Americas",2006,0,5.27,0.37,0.75,"People using at least basic sanitation services (% of population)",80.2822941942857
"Region of the Americas",2006,0,5.27,0.37,0.75,"People using safely managed drinking water services (% of population)",63.78579248
"Region of the Americas",2006,0,5.27,0.37,0.75,"People using safely managed sanitation services (% of population)",43.6783020547059
"Region of the Americas",2006,0,5.27,0.37,0.75,"Population density (people per sq. km of land area)",127.331118566306
"Region of the Americas",2006,0,5.27,0.37,0.75,"Population, total",24783032.1388889
"Region of the Americas",2006,0,5.27,0.37,0.75,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",36.5413219071538
"Region of the Americas",2007,0,4.96,0.37,0.7,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.716820911
"Region of the Americas",2007,0,4.96,0.37,0.7,"People practicing open defecation (% of population)",5.99685343918518
"Region of the Americas",2007,0,4.96,0.37,0.7,"People using at least basic drinking water services (% of population)",91.4679306251852
"Region of the Americas",2007,0,4.96,0.37,0.7,"People using at least basic sanitation services (% of population)",80.8482850139286
"Region of the Americas",2007,0,4.96,0.37,0.7,"People using safely managed drinking water services (% of population)",64.181215655
"Region of the Americas",2007,0,4.96,0.37,0.7,"People using safely managed sanitation services (% of population)",44.0769396105882
"Region of the Americas",2007,0,4.96,0.37,0.7,"Population density (people per sq. km of land area)",128.106755535361
"Region of the Americas",2007,0,4.96,0.37,0.7,"Population, total",25053981.7777778
"Region of the Americas",2007,0,4.96,0.37,0.7,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",38.5095248179615
"Region of the Americas",2008,0,4.61,0.37,0.67,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.9149070024815
"Region of the Americas",2008,0,4.61,0.37,0.67,"People practicing open defecation (% of population)",5.68770232485185
"Region of the Americas",2008,0,4.61,0.37,0.67,"People using at least basic drinking water services (% of population)",91.8454698937037
"Region of the Americas",2008,0,4.61,0.37,0.67,"People using at least basic sanitation services (% of population)",81.4131541610714
"Region of the Americas",2008,0,4.61,0.37,0.67,"People using safely managed drinking water services (% of population)",64.572678385
"Region of the Americas",2008,0,4.61,0.37,0.67,"People using safely managed sanitation services (% of population)",44.4795967970588
"Region of the Americas",2008,0,4.61,0.37,0.67,"Population density (people per sq. km of land area)",128.908795246111
"Region of the Americas",2008,0,4.61,0.37,0.67,"Population, total",25325578.7222222
"Region of the Americas",2008,0,4.61,0.37,0.67,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",38.9793963261538
"Region of the Americas",2009,0,4.28,0.37,0.63,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",13.9984292306667
"Region of the Americas",2009,0,4.28,0.37,0.63,"People practicing open defecation (% of population)",5.38335464585185
"Region of the Americas",2009,0,4.28,0.37,0.63,"People using at least basic drinking water services (% of population)",92.2132680814815
"Region of the Americas",2009,0,4.28,0.37,0.63,"People using at least basic sanitation services (% of population)",81.9788135671429
"Region of the Americas",2009,0,4.28,0.37,0.63,"People using safely managed drinking water services (% of population)",65.1531774514286
"Region of the Americas",2009,0,4.28,0.37,0.63,"People using safely managed sanitation services (% of population)",44.8923002529412
"Region of the Americas",2009,0,4.28,0.37,0.63,"Population density (people per sq. km of land area)",129.6894489475
"Region of the Americas",2009,0,4.28,0.37,0.63,"Population, total",25590401.9166667
"Region of the Americas",2009,0,4.28,0.37,0.63,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",36.9112432221154
"Region of the Americas",2010,0,4.03,0.37,0.6,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.1163309485556
"Region of the Americas",2010,0,4.03,0.37,0.6,"People practicing open defecation (% of population)",5.08287457162963
"Region of the Americas",2010,0,4.03,0.37,0.6,"People using at least basic drinking water services (% of population)",92.5761153211111
"Region of the Americas",2010,0,4.03,0.37,0.6,"People using at least basic sanitation services (% of population)",82.5431621385714
"Region of the Americas",2010,0,4.03,0.37,0.6,"People using safely managed drinking water services (% of population)",65.7342136385714
"Region of the Americas",2010,0,4.03,0.37,0.6,"People using safely managed sanitation services (% of population)",45.3152763870588
"Region of the Americas",2010,0,4.03,0.37,0.6,"Population density (people per sq. km of land area)",130.416243441806
"Region of the Americas",2010,0,4.03,0.37,0.6,"Population, total",25848376.3611111
"Region of the Americas",2010,0,4.03,0.37,0.6,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",36.3699329822692
"Region of the Americas",2011,0,3.86,0.37,0.66,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.1588945326667
"Region of the Americas",2011,0,3.86,0.37,0.66,"People practicing open defecation (% of population)",4.78611717933333
"Region of the Americas",2011,0,3.86,0.37,0.66,"People using at least basic drinking water services (% of population)",92.9349123814815
"Region of the Americas",2011,0,3.86,0.37,0.66,"People using at least basic sanitation services (% of population)",83.1037098942857
"Region of the Americas",2011,0,3.86,0.37,0.66,"People using safely managed drinking water services (% of population)",66.314350655
"Region of the Americas",2011,0,3.86,0.37,0.66,"People using safely managed sanitation services (% of population)",45.7515335247059
"Region of the Americas",2011,0,3.86,0.37,0.66,"Population density (people per sq. km of land area)",131.069842955417
"Region of the Americas",2011,0,3.86,0.37,0.66,"Population, total",26095738.5833333
"Region of the Americas",2011,0,3.86,0.37,0.66,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",36.8299071841154
"Region of the Americas",2012,0,3.68,0.37,0.56,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.2413965757037
"Region of the Americas",2012,0,3.68,0.37,0.56,"People practicing open defecation (% of population)",4.49303765907407
"Region of the Americas",2012,0,3.68,0.37,0.56,"People using at least basic drinking water services (% of population)",93.2903453677778
"Region of the Americas",2012,0,3.68,0.37,0.56,"People using at least basic sanitation services (% of population)",83.6630511210714
"Region of the Americas",2012,0,3.68,0.37,0.56,"People using safely managed drinking water services (% of population)",66.8940098114286
"Region of the Americas",2012,0,3.68,0.37,0.56,"People using safely managed sanitation services (% of population)",46.2215725217647
"Region of the Americas",2012,0,3.68,0.37,0.56,"Population density (people per sq. km of land area)",131.771603263917
"Region of the Americas",2012,0,3.68,0.37,0.56,"Population, total",26345236.75
"Region of the Americas",2012,0,3.68,0.37,0.56,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",38.0321832459231
"Region of the Americas",2013,0,3.5,0.37,0.56,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.2660750981852
"Region of the Americas",2013,0,3.5,0.37,0.56,"People practicing open defecation (% of population)",4.204211179
"Region of the Americas",2013,0,3.5,0.37,0.56,"People using at least basic drinking water services (% of population)",93.6600373448148
"Region of the Americas",2013,0,3.5,0.37,0.56,"People using at least basic sanitation services (% of population)",84.2203531639286
"Region of the Americas",2013,0,3.5,0.37,0.56,"People using safely managed drinking water services (% of population)",67.5154264314286
"Region of the Americas",2013,0,3.5,0.37,0.56,"People using safely managed sanitation services (% of population)",46.6964826311765
"Region of the Americas",2013,0,3.5,0.37,0.56,"Population density (people per sq. km of land area)",132.524043957139
"Region of the Americas",2013,0,3.5,0.37,0.56,"Population, total",26589474.2777778
"Region of the Americas",2013,0,3.5,0.37,0.56,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",38.6218415315769
"Region of the Americas",2014,0,3.35,0.37,0.54,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.3128637609259
"Region of the Americas",2014,0,3.35,0.37,0.54,"People practicing open defecation (% of population)",3.91908907414815
"Region of the Americas",2014,0,3.35,0.37,0.54,"People using at least basic drinking water services (% of population)",94.0261109796296
"Region of the Americas",2014,0,3.35,0.37,0.54,"People using at least basic sanitation services (% of population)",84.7665117867857
"Region of the Americas",2014,0,3.35,0.37,0.54,"People using safely managed drinking water services (% of population)",68.1380367407143
"Region of the Americas",2014,0,3.35,0.37,0.54,"People using safely managed sanitation services (% of population)",47.1757964223529
"Region of the Americas",2014,0,3.35,0.37,0.54,"Population density (people per sq. km of land area)",133.136008881528
"Region of the Americas",2014,0,3.35,0.37,0.54,"Population, total",26834632.25
"Region of the Americas",2014,0,3.35,0.37,0.54,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",39.4760802368077
"Region of the Americas",2015,0,3.25,0.36,0.52,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.0698312805556
"Region of the Americas",2015,0,3.25,0.36,0.52,"People practicing open defecation (% of population)",3.63721424088889
"Region of the Americas",2015,0,3.25,0.36,0.52,"People using at least basic drinking water services (% of population)",94.3877233011111
"Region of the Americas",2015,0,3.25,0.36,0.52,"People using at least basic sanitation services (% of population)",85.3251439496429
"Region of the Americas",2015,0,3.25,0.36,0.52,"People using safely managed drinking water services (% of population)",68.7262192521429
"Region of the Americas",2015,0,3.25,0.36,0.52,"People using safely managed sanitation services (% of population)",47.6535393735294
"Region of the Americas",2015,0,3.25,0.36,0.52,"Population density (people per sq. km of land area)",133.671878696389
"Region of the Americas",2015,0,3.25,0.36,0.52,"Population, total",27074134.3333333
"Region of the Americas",2015,0,3.25,0.36,0.52,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",40.2872253098846
"Region of the Americas",2016,0,3.15,0.36,0.51,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.2754807126667
"Region of the Americas",2016,0,3.15,0.36,0.51,"People practicing open defecation (% of population)",3.35872375774074
"Region of the Americas",2016,0,3.15,0.36,0.51,"People using at least basic drinking water services (% of population)",94.7362133396296
"Region of the Americas",2016,0,3.15,0.36,0.51,"People using at least basic sanitation services (% of population)",85.8788146335714
"Region of the Americas",2016,0,3.15,0.36,0.51,"People using safely managed drinking water services (% of population)",69.2349396064286
"Region of the Americas",2016,0,3.15,0.36,0.51,"People using safely managed sanitation services (% of population)",48.0973622352941
"Region of the Americas",2016,0,3.15,0.36,0.51,"Population density (people per sq. km of land area)",134.134856493083
"Region of the Americas",2016,0,3.15,0.36,0.51,"Population, total",27312776.6666667
"Region of the Americas",2016,0,3.15,0.36,0.51,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",40.5493520662692
"Region of the Americas",2017,0,3.04,0.36,0.49,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.2842318844074
"Region of the Americas",2017,0,3.04,0.36,0.49,"People practicing open defecation (% of population)",3.07580212707407
"Region of the Americas",2017,0,3.04,0.36,0.49,"People using at least basic drinking water services (% of population)",95.0736179848148
"Region of the Americas",2017,0,3.04,0.36,0.49,"People using at least basic sanitation services (% of population)",86.4290086021429
"Region of the Americas",2017,0,3.04,0.36,0.49,"People using safely managed drinking water services (% of population)",69.5827313242857
"Region of the Americas",2017,0,3.04,0.36,0.49,"People using safely managed sanitation services (% of population)",48.4675636405882
"Region of the Americas",2017,0,3.04,0.36,0.49,"Population density (people per sq. km of land area)",134.491121939278
"Region of the Americas",2017,0,3.04,0.36,0.49,"Population, total",27539096.3055556
"Region of the Americas",2017,0,3.04,0.36,0.49,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",40.8919457552692
"Region of the Americas",2018,0,2.94,0.36,0.47,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.6411582728148
"Region of the Americas",2018,0,2.94,0.36,0.47,"People practicing open defecation (% of population)",2.82529682696296
"Region of the Americas",2018,0,2.94,0.36,0.47,"People using at least basic drinking water services (% of population)",95.3665467574074
"Region of the Americas",2018,0,2.94,0.36,0.47,"People using at least basic sanitation services (% of population)",86.9483010560714
"Region of the Americas",2018,0,2.94,0.36,0.47,"People using safely managed drinking water services (% of population)",69.8553426357143
"Region of the Americas",2018,0,2.94,0.36,0.47,"People using safely managed sanitation services (% of population)",48.8184446047059
"Region of the Americas",2018,0,2.94,0.36,0.47,"Population density (people per sq. km of land area)",134.666737412694
"Region of the Americas",2018,0,2.94,0.36,0.47,"Population, total",27749956.6111111
"Region of the Americas",2018,0,2.94,0.36,0.47,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",42.0096252810385
"Region of the Americas",2019,0,2.88,0.36,0.47,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.6489190720741
"Region of the Americas",2019,0,2.88,0.36,0.47,"People practicing open defecation (% of population)",2.59770829562963
"Region of the Americas",2019,0,2.88,0.36,0.47,"People using at least basic drinking water services (% of population)",95.5694971037037
"Region of the Americas",2019,0,2.88,0.36,0.47,"People using at least basic sanitation services (% of population)",87.4677479825
"Region of the Americas",2019,0,2.88,0.36,0.47,"People using safely managed drinking water services (% of population)",70.0625224285714
"Region of the Americas",2019,0,2.88,0.36,0.47,"People using safely managed sanitation services (% of population)",49.1726643788235
"Region of the Americas",2019,0,2.88,0.36,0.47,"Population density (people per sq. km of land area)",135.249500098028
"Region of the Americas",2019,0,2.88,0.36,0.47,"Population, total",27950193.6111111
"Region of the Americas",2019,0,2.88,0.36,0.47,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",42.792870049
"Region of the Americas",2020,0,2.72,0.34,0.36,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.6182450812222
"Region of the Americas",2020,0,2.72,0.34,0.36,"People practicing open defecation (% of population)",2.39736010603704
"Region of the Americas",2020,0,2.72,0.34,0.36,"People using at least basic drinking water services (% of population)",95.7468150218518
"Region of the Americas",2020,0,2.72,0.34,0.36,"People using at least basic sanitation services (% of population)",87.9061585696429
"Region of the Americas",2020,0,2.72,0.34,0.36,"People using safely managed drinking water services (% of population)",70.2458764085714
"Region of the Americas",2020,0,2.72,0.34,0.36,"People using safely managed sanitation services (% of population)",49.4926545147059
"Region of the Americas",2020,0,2.72,0.34,0.36,"Population density (people per sq. km of land area)",136.088585956361
"Region of the Americas",2020,0,2.72,0.34,0.36,"Population, total",28179454.6111111
"Region of the Americas",2020,0,2.72,0.34,0.36,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",38.0587218605385
"Region of the Americas",2021,0,2.72,0.33,0.32,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",14.6790938498889
"Region of the Americas",2021,0,2.72,0.33,0.32,"People practicing open defecation (% of population)",2.2279541357037
"Region of the Americas",2021,0,2.72,0.33,0.32,"People using at least basic drinking water services (% of population)",95.9171163681481
"Region of the Americas",2021,0,2.72,0.33,0.32,"People using at least basic sanitation services (% of population)",88.3116714728571
"Region of the Americas",2021,0,2.72,0.33,0.32,"People using safely managed drinking water services (% of population)",70.4225457392857
"Region of the Americas",2021,0,2.72,0.33,0.32,"People using safely managed sanitation services (% of population)",49.8082312217647
"Region of the Americas",2021,0,2.72,0.33,0.32,"Population density (people per sq. km of land area)",136.5191209735
"Region of the Americas",2021,0,2.72,0.33,0.32,"Population, total",28303685.6944444
"Region of the Americas",2021,0,2.72,0.33,0.32,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",39.9161368367308
"African Region",2000,0.04,22.74,0.7,10.68,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",9.72499611927907
"African Region",2000,0.04,22.74,0.7,10.68,"People practicing open defecation (% of population)",32.8754594129524
"African Region",2000,0.04,22.74,0.7,10.68,"People using at least basic drinking water services (% of population)",56.2606314113954
"African Region",2000,0.04,22.74,0.7,10.68,"People using at least basic sanitation services (% of population)",25.5792707349048
"African Region",2000,0.04,22.74,0.7,10.68,"People using safely managed drinking water services (% of population)",15.7240890344762
"African Region",2000,0.04,22.74,0.7,10.68,"People using safely managed sanitation services (% of population)",15.29002589752
"African Region",2000,0.04,22.74,0.7,10.68,"People with basic handwashing facilities including soap and water (% of population)",9.2613819735
"African Region",2000,0.04,22.74,0.7,10.68,"Population density (people per sq. km of land area)",77.9665313357609
"African Region",2000,0.04,22.74,0.7,10.68,"Population, total",14369649.8297872
"African Region",2000,0.04,22.74,0.7,10.68,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",26.081808629
"African Region",2001,0.04,22.66,0.7,10.62,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",10.0726951241163
"African Region",2001,0.04,22.66,0.7,10.62,"People practicing open defecation (% of population)",32.1405056661905
"African Region",2001,0.04,22.66,0.7,10.62,"People using at least basic drinking water services (% of population)",56.8915512648837
"African Region",2001,0.04,22.66,0.7,10.62,"People using at least basic sanitation services (% of population)",26.149801191619
"African Region",2001,0.04,22.66,0.7,10.62,"People using safely managed drinking water services (% of population)",16.0583011434762
"African Region",2001,0.04,22.66,0.7,10.62,"People using safely managed sanitation services (% of population)",15.56869548556
"African Region",2001,0.04,22.66,0.7,10.62,"People with basic handwashing facilities including soap and water (% of population)",9.548827301
"African Region",2001,0.04,22.66,0.7,10.62,"Population density (people per sq. km of land area)",79.4786835983913
"African Region",2001,0.04,22.66,0.7,10.62,"Population, total",14749032.8297872
"African Region",2001,0.04,22.66,0.7,10.62,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",28.3511698312326
"African Region",2002,0.04,22.56,0.69,10.41,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",10.4342041774884
"African Region",2002,0.04,22.56,0.69,10.41,"People practicing open defecation (% of population)",31.3466123650476
"African Region",2002,0.04,22.56,0.69,10.41,"People using at least basic drinking water services (% of population)",57.5603276674419
"African Region",2002,0.04,22.56,0.69,10.41,"People using at least basic sanitation services (% of population)",26.7909226458571
"African Region",2002,0.04,22.56,0.69,10.41,"People using safely managed drinking water services (% of population)",16.448185324
"African Region",2002,0.04,22.56,0.69,10.41,"People using safely managed sanitation services (% of population)",15.9030541076
"African Region",2002,0.04,22.56,0.69,10.41,"People with basic handwashing facilities including soap and water (% of population)",9.845010353
"African Region",2002,0.04,22.56,0.69,10.41,"Population density (people per sq. km of land area)",81.2120686877174
"African Region",2002,0.04,22.56,0.69,10.41,"Population, total",15141153.1489362
"African Region",2002,0.04,22.56,0.69,10.41,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",29.8325961841395
"African Region",2003,0.04,22.43,0.68,10.19,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",10.6377752702326
"African Region",2003,0.04,22.43,0.68,10.19,"People practicing open defecation (% of population)",30.5588058536905
"African Region",2003,0.04,22.43,0.68,10.19,"People using at least basic drinking water services (% of population)",58.2191847869767
"African Region",2003,0.04,22.43,0.68,10.19,"People using at least basic sanitation services (% of population)",27.4354666190238
"African Region",2003,0.04,22.43,0.68,10.19,"People using safely managed drinking water services (% of population)",16.8310775855238
"African Region",2003,0.04,22.43,0.68,10.19,"People using safely managed sanitation services (% of population)",16.24197593764
"African Region",2003,0.04,22.43,0.68,10.19,"People with basic handwashing facilities including soap and water (% of population)",10.1558790975
"African Region",2003,0.04,22.43,0.68,10.19,"Population density (people per sq. km of land area)",82.8727505988478
"African Region",2003,0.04,22.43,0.68,10.19,"Population, total",15546526.7446809
"African Region",2003,0.04,22.43,0.68,10.19,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",30.5087465766279
"African Region",2004,0.04,22.32,0.68,10.1,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",10.7705906271163
"African Region",2004,0.04,22.32,0.68,10.1,"People practicing open defecation (% of population)",29.7749748763095
"African Region",2004,0.04,22.32,0.68,10.1,"People using at least basic drinking water services (% of population)",58.8941827725581
"African Region",2004,0.04,22.32,0.68,10.1,"People using at least basic sanitation services (% of population)",28.1011107380476
"African Region",2004,0.04,22.32,0.68,10.1,"People using safely managed drinking water services (% of population)",17.327165559619
"African Region",2004,0.04,22.32,0.68,10.1,"People using safely managed sanitation services (% of population)",16.58857033124
"African Region",2004,0.04,22.32,0.68,10.1,"People with basic handwashing facilities including soap and water (% of population)",10.4675168425
"African Region",2004,0.04,22.32,0.68,10.1,"Population density (people per sq. km of land area)",84.3663011266304
"African Region",2004,0.04,22.32,0.68,10.1,"Population, total",15966889.2553191
"African Region",2004,0.04,22.32,0.68,10.1,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",33.5935226926512
"African Region",2005,0.04,22.27,0.68,10.06,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",10.9004073156512
"African Region",2005,0.04,22.27,0.68,10.06,"People practicing open defecation (% of population)",28.9927033249286
"African Region",2005,0.04,22.27,0.68,10.06,"People using at least basic drinking water services (% of population)",59.5719343718605
"African Region",2005,0.04,22.27,0.68,10.06,"People using at least basic sanitation services (% of population)",28.8358677144524
"African Region",2005,0.04,22.27,0.68,10.06,"People using safely managed drinking water services (% of population)",17.830862484619
"African Region",2005,0.04,22.27,0.68,10.06,"People using safely managed sanitation services (% of population)",17.01335889492
"African Region",2005,0.04,22.27,0.68,10.06,"People with basic handwashing facilities including soap and water (% of population)",10.9746379376667
"African Region",2005,0.04,22.27,0.68,10.06,"Population density (people per sq. km of land area)",86.2152938894348
"African Region",2005,0.04,22.27,0.68,10.06,"Population, total",16401440.212766
"African Region",2005,0.04,22.27,0.68,10.06,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",35.8844061346744
"African Region",2006,0.04,22.28,0.68,10.16,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources",11.0060801463953
"African Region",2006,0.04,22.28,0.68,10.16,"People practicing open defecation (% of population)",28.2187715199048
