Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Barbados,BRB,262063,262425,264148,265776,267298,268706,270002,271288,272714,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147
"Population, total",SP.POP.TOTL,Belarus,BLR,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585
"Population, total",SP.POP.TOTL,Belgium,BEL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195
"Population, total",SP.POP.TOTL,Belize,BLZ,240799,248379,256009,263780,271688,279731,287878,296100,304361,312614,320245,327298,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346
"Population, total",SP.POP.TOTL,Benin,BEN,7221619,7445596,7675426,7913070,8159094,8426144,8693242,8953969,9228466,9509423,9797484,10093623,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417
"Population, total",SP.POP.TOTL,Bermuda,BMU,61550,61867,62142,62386,62555,62711,62834,63010,63300,63565,63725,63733,63646,63574,63529,63464,63449,63578,63831,64107,64382,64648
"Population, total",SP.POP.TOTL,Bhutan,BTN,596863,610794,624409,637663,650544,661865,670799,678641,686351,693988,701632,709377,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442
"Population, total",SP.POP.TOTL,Bolivia,BOL,8606326,8752736,8900355,9050700,9204287,9360754,9521689,9685960,9850858,10016275,10182345,10348929,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4159771,4179438,4188002,4178523,4140987,4096493,4063272,4013424,3947544,3879794,3811472,3741798,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907
"Population, total",SP.POP.TOTL,Botswana,BWA,1677382,1712254,1744763,1775736,1807146,1839877,1874516,1911201,1949970,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441
"Population, total",SP.POP.TOTL,Brazil,BRA,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,190367302,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,20241,20796,21430,22134,22881,23665,24493,25366,26288,27218,27675,28710,30345,31703,32962,34498,33878,32699,34657,36395,37135,37809
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,326424,333345,340099,346637,352911,358916,364663,370873,377793,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,11925546,12295001,12680897,13082532,13500533,13932123,14373707,14816307,15258093,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243
"Population, total",SP.POP.TOTL,Burundi,BDI,6470194,6634365,6824132,7043154,7310656,7587299,7865547,8161874,8505637,8947646,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,453317,460293,467046,473383,479370,485115,490728,496190,501355,506141,509784,511447,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649
"Population, total",SP.POP.TOTL,Cambodia,KHM,12462336,12658484,12855241,13050968,13244731,13439202,13639028,13841770,14053479,14276810,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305
"Population, total",SP.POP.TOTL,Cameroon,CMR,14912631,15309490,15725528,16160340,16610487,17074594,17550407,18049896,18574056,19113974,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758
"Population, total",SP.POP.TOTL,Canada,CAN,30685730,31020855,31359199,31642461,31938807,32242732,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,39674,41089,42514,43934,45352,46788,48232,49687,51151,52618,54099,55606,57136,58655,60160,61642,63100,64535,65941,67327,68684,70108
"Population, total",SP.POP.TOTL,Central African Republic,CAF,3833416,3919487,4006077,4103086,4192826,4288810,4377579,4462770,4558984,4529047,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100
"Population, total",SP.POP.TOTL,Chad,TCD,8512093,8804124,9116192,9487833,9920036,10328092,10706424,11081660,11476296,11893754,12312575,12754997,13210998,13691079,14188678,14647621,15114655,15622759,16156531,16685223,17224679,17828273
"Population, total",SP.POP.TOTL,Channel Islands,CHI,148110,148850,149881,150960,152039,153126,154214,155309,156408,157511,158621,159706,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741
"Population, total",SP.POP.TOTL,Chile,CHL,15503635,15683849,15857925,16024752,16187322,16348778,16509195,16671581,16838988,17009731,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334
"Population, total",SP.POP.TOTL,China,CHN,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,39089934,39709262,40324680,40937429,41543171,42128977,42691084,43235374,43758808,44271541,44777319,45259614,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173
"Population, total",SP.POP.TOTL,Comoros,COM,536080,547220,558923,569798,580704,592677,604753,616927,629307,641947,654836,668056,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,50507442,52132646,53750524,55343867,56997741,58775724,60615908,62477752,64390664,66412044,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,3151345,3272537,3350771,3445753,3565554,3696393,3837409,3980430,4113517,4281219,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3937739,4008947,4075705,4138784,4200078,4261240,4321340,4380248,4440056,4499791,4555962,4609833,4663934,4716147,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,17699004,18178913,18654771,19125542,19595000,20068458,20546802,21030558,21514439,21997940,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736
"Population, total",SP.POP.TOTL,Croatia,HRV,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4260368,4233922,4201598,4151725,4106867,4041407,3988775,3949390,3914206,3878981
"Population, total",SP.POP.TOTL,Cuba,CUB,11109109,11144132,11177418,11209383,11238756,11262554,11278550,11287272,11291762,11294719,11297409,11301571,11303175,11298167,11285775,11275065,11265612,11247829,11227118,11202846,11176354,11122168
"Population, total",SP.POP.TOTL,Curacao,CUW,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369
"Population, total",SP.POP.TOTL,Cyprus,CYP,947667,964127,981440,999590,1017875,1036151,1054418,1072714,1091026,1109371,1127816,1146493,1165397,1183895,1201801,1219502,1237112,1254275,1270737,1286671,1302247,1317309
"Population, total",SP.POP.TOTL,Czechia,CZE,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772
"Population, total",SP.POP.TOTL,Denmark,DNK,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733
"Population, total",SP.POP.TOTL,Djibouti,DJI,747318,771313,795574,813519,826124,839167,855764,874528,892734,911527,930251,948558,966747,984824,1002717,1020313,1037653,1054841,1071882,1088709,1105188,1121248
"Population, total",SP.POP.TOTL,Dominica,DMA,68511,68288,68367,68531,68649,68734,68806,68847,68854,68864,68859,69053,69118,69715,70373,70410,69606,68496,68174,67880,67573,67202
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,8584190,8720283,8852235,8980620,9104892,9225034,9341183,9455658,9573130,9695265,9820175,9945621,10070411,10193833,10315528,10434829,10551430,10666843,10782053,10894043,11008300,11123476
"Population, total",SP.POP.TOTL,Ecuador,ECU,12689206,12910740,13138472,13372306,13608701,13846163,14086131,14328773,14575202,14825954,15076695,15326227,15572194,15807128,16035124,16266225,16505139,16759519,17049547,17340021,17546065,17682454
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,73083284,74652029,76239137,77853548,79477443,81101004,82700403,84276225,85864789,87501636,89196072,91093059,93161001,95333553,97528654,99597342,101644589,103696057,105682094,107553158,109315124,110957008
"Population, total",SP.POP.TOTL,El Salvador,SLV,5943366,5968060,5986631,5998599,6004671,6005578,6002319,6009824,6029297,6048279,6068249,6090127,6113975,6138839,6162955,6183676,6200800,6213533,6219807,6222318,6234673,6255782
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,703279,749836,797957,847862,899917,947367,990343,1036044,1084530,1135673,1189085,1241835,1293483,1346218,1399828,1453923,1508186,1562396,1616422,1670177,1716468,1758786
"Population, total",SP.POP.TOTL,Eritrea,ERI,2247031,2312079,2392978,2493903,2598284,2661215,2703502,2743222,2816327,2887885,2945186,2998485,3036988,3074360,3095173,3105546,3124698,3150347,3192760,3240194,3291271,3350183
"Population, total",SP.POP.TOTL,Estonia,EST,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1041414,1051064,1059441,1066700,1073159,1079022,1084436,1090705,1098091,1105153,1111650,1117833,1123863,1129990,1136299,1142813,1149507,1158195,1168929,1179874,1192729,1206593
"Population, total",SP.POP.TOTL,Ethiopia,ETH,67411494,69487762,71635517,73832663,76077206,78367470,80703490,83103217,85543668,88007636,90538514,93149970,95798767,98438751,101115610,103867135,106718162,109666481,112664152,115737383,118917671,122138588
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,45754,46635,47335,48032,48384,48359,48335,48378,48547,48791,48657,48543,48291,48246,48428,48901,49464,50182,50998,51795,52571,53315
"Population, total",SP.POP.TOTL,Fiji,FJI,840909,849596,858049,866286,874366,882379,890365,897832,903399,907239,910419,912989,914918,916352,917585,918578,919166,918759,917180,914899,914963,916711
"Population, total",SP.POP.TOTL,Finland,FIN,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017
"Population, total",SP.POP.TOTL,France,FRA,60918661,61364377,61812142,62249855,62707588,63180854,63622342,64016890,64375116,64706436,65026211,65340830,65657659,65997932,66312067,66548272,66724104,66918020,67158348,67382061,67601110,67842811
"Population, total",SP.POP.TOTL,French Polynesia,PYF,240337,244097,247775,251637,255654,259507,263223,266438,268379,269481,270580,271727,273084,274728,276387,277866,279178,280087,279815,279034,279209,279792
"Population, total",SP.POP.TOTL,Gabon,GAB,1275572,1309589,1345135,1382350,1421609,1463495,1508337,1556237,1607175,1661556,1719879,1781985,1846889,1913059,1978399,2040989,2100306,2156900,2212318,2267706,2322539,2376722
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1455084,1495011,1535691,1577611,1621312,1667037,1715275,1765774,1817852,1871422,1926630,1983784,2043094,2103820,2164528,2224529,2283769,2342189,2399632,2456844,2515733,2576010
"Population, total",SP.POP.TOTL,Georgia,GEO,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610
"Population, total",SP.POP.TOTL,Germany,DEU,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078
"Population, total",SP.POP.TOTL,Ghana,GHA,19637087,20167069,20729388,21296705,21868298,22449438,23040702,23642279,24249946,24862664,25474995,26095088,26734268,27386193,28041592,28696068,29356742,30008354,30637585,31258945,31887809,32518665
"Population, total",SP.POP.TOTL,Gibraltar,GIB,27709,27657,27831,28274,28715,29163,29594,30006,30413,30823,31248,31660,32029,32407,32813,33193,33658,34245,34854,35494,36173,36858
"Population, total",SP.POP.TOTL,Greece,GRC,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10569207
"Population, total",SP.POP.TOTL,Greenland,GRL,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56172,56023,56225,56367,56653
"Population, total",SP.POP.TOTL,Grenada,GRD,107451,107987,108404,108884,109323,109734,110135,110522,110896,111254,111586,112079,112775,113487,114132,114676,115130,115438,115691,115981,116341,116688
"Population, total",SP.POP.TOTL,Guam,GUM,160065,161329,162315,163137,163810,164365,164839,165267,165693,166173,166522,166543,166331,165966,165486,164905,164233,163490,162679,161808,162158,163730
"Population, total",SP.POP.TOTL,Guatemala,GTM,11697592,11969422,12246915,12525842,12807402,13087629,13367459,13652040,13935174,14215611,14500112,14792126,15089647,15387337,15681725,15971743,16268760,16567357,16845685,17103803,17357325,17598650
"Population, total",SP.POP.TOTL,Guinea,GIN,8428832,8539960,8674066,8870781,9062726,9245844,9441171,9662281,9898870,10143534,10396086,10656810,10921581,11191873,11472924,11767070,12073030,12385659,12704774,13034346,13371183,13710513
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1234741,1261273,1289307,1318806,1349563,1381585,1415303,1450986,1488054,1526377,1566347,1608076,1651417,1695973,1741122,1786457,1831893,1877072,1922168,1967696,2013255,2058841
"Population, total",SP.POP.TOTL,Guyana,GUY,764832,764477,763652,763101,762418,760914,758966,756861,754606,752094,749256,746153,746288,750021,754229,758781,763548,768479,791556,807665,807481,815482
"Population, total",SP.POP.TOTL,Haiti,HTI,8303151,8455918,8607641,8759912,8910263,9061273,9216562,9373296,9530774,9689581,9803294,9914904,10069771,10222362,10373235,10523242,10671457,10817754,10962362,11105163,11243848,11374586
"Population, total",SP.POP.TOTL,Honduras,HND,6577773,6757993,6938859,7119213,7298994,7478355,7656832,7834798,8012587,8189899,8365878,8540583,8715076,8889278,9063122,9237305,9412380,9588137,9765210,9943633,10119640,10289877
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100
"Population, total",SP.POP.TOTL,Hungary,HUN,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891
"Population, total",SP.POP.TOTL,Iceland,ISL,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520
"Population, total",SP.POP.TOTL,India,IND,1057922733,1077898575,1097600380,1116803006,1135991513,1154676322,1172878890,1190676021,1207930964,1225524753,1243481564,1261224954,1278674502,1295829511,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896
"Population, total",SP.POP.TOTL,Indonesia,IDN,216077790,219097902,222088495,225048008,227926649,230871650,233951652,237062337,240157903,243220028,246305322,249470032,252698525,255852467,258877399,261799249,264627418,267346658,269951846,272489381,274814866,276758053
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,66418659,67452005,68011317,68769340,70256316,71828455,73392747,74602648,75514204,76457825,77420842,78383598,79370580,80414686,81502045,82619362,83812228,85026754,86117998,87051648,87723443,88455488
"Population, total",SP.POP.TOTL,Iraq,IRQ,24424056,25197840,26006559,26802659,27577878,28407448,28616515,28391607,28971036,30058206,31045366,32161424,33654842,35281989,36550059,37560535,38469627,39337353,40265624,41192171,42116605,43071211
"Population, total",SP.POP.TOTL,Ireland,IRL,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033164
"Population, total",SP.POP.TOTL,Isle of Man,IMN,75659,76476,77275,78049,78792,79516,80294,81147,82029,82939,83873,84382,84335,84141,83892,83593,83466,83609,83805,83957,84064,84106
"Population, total",SP.POP.TOTL,Israel,ISR,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9371400
"Population, total",SP.POP.TOTL,Italy,ITA,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59133173
"Population, total",SP.POP.TOTL,Jamaica,JAM,2607826,2624403,2640572,2656623,2672225,2687066,2700968,2713800,2725635,2736995,2748568,2760494,2772430,2783687,2793749,2802534,2809915,2815764,2820097,2823271,2830739,2837682
"Population, total",SP.POP.TOTL,Japan,JPN,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593
"Population, total",SP.POP.TOTL,Jordan,JOR,5386945,5498894,5616066,5741828,5882061,6029587,6427371,6827227,6989866,7141753,7297043,7480424,7587127,7991809,8791710,9544729,10006367,10234226,10462306,10671891,10865228,11066356
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,15501103,15575550,15656677,15747380,15850159,15968117,16103716,16257214,16426525,16619846,16836810,17066002,17306106,17556502,17816285,18084169,18363600,18651931,18932727,19209555,19482117,19743603
"Population, total",SP.POP.TOTL,Kenya,KEN,30642890,31619170,32629808,33652223,34713455,35796484,36904008,38036349,39206351,40408891,41598567,42758461,43888303,44986791,46051440,47088526,48139687,49197766,50207107,51202827,52217334,53219166
"Population, total",SP.POP.TOTL,Kiribati,KIR,88613,90335,92264,94175,96085,98035,100017,102068,104222,106467,108704,110647,112284,113838,115326,116815,118478,120275,122084,123921,126099,128377
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,23665910,23815358,23943973,24090380,24254943,24396433,24524507,24646383,24764618,24878332,24987258,25097874,25211728,25329451,25451262,25575350,25698326,25817709,25931147,26037632,26136312,26232534
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51769539
"Population, total",SP.POP.TOTL,Kosovo,XKX,1802493,1820009,1829462,1826434,1822773,1818354,1813079,1807094,1800858,1794681,1788743,1791949,1807126,1818119,1812788,1788274,1777568,1791019,1797086,1788891,1790152,1786080
"Population, total",SP.POP.TOTL,Kuwait,KWT,1954709,2008121,2059974,2109881,2157320,2236788,2364733,2507887,2651421,2795484,2943372,3132814,3337109,3507844,3665876,3834574,4004096,4154812,4323515,4442316,4400267,4360865
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4898361.5,4945072.5,4990704,5043308,5104712.5,5162639.5,5218373,5268384.5,5318729,5389643,5467059,5546586.5,5652076,5777150,5905847.5,6040035.5,6175337.5,6306695.5,6444078.5,6590211,6726595.5,6851224
"Population, total",SP.POP.TOTL,Lao PDR,LAO,5431212,5521482,5610889,5697945,5781626,5869523,5963200,6056236,6148969,6241642,6334194,6426590,6518978,6611385,6703172,6801645,6908802,7018147,7128045,7237636,7346533,7453194
"Population, total",SP.POP.TOTL,Latvia,LVA,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490
"Population, total",SP.POP.TOTL,Lebanon,LBN,4329340,4401918,4463504,4525508,4599279,4671102,4751136,4844118,4925354,4992287,5041288,5096020,5235742,5743436,6346990,6472469,6323060,6160128,5984119,5794594,5702398,5718122
"Population, total",SP.POP.TOTL,Lesotho,LSO,2003913,2000853,1994679,1985059,1971129,1953076,1945063,1953268,1966541,1980883,1996251,2014009,2034354,2056504,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542
"Population, total",SP.POP.TOTL,Liberia,LBR,2928117,3015338,3094782,3119532,3156892,3301015,3490787,3669050,3821003,3943028,4058890,4221178,4373043,4470239,4564293,4659431,4755608,4848925,4944726,5043721,5149463,5259323
"Population, total",SP.POP.TOTL,Libya,LBY,5305021,5403639,5508410,5619398,5736693,5858798,5980211,6104380,6235430,6366686,6497839,6343203,6179328,6304628,6427252,6531819,6632126,6738770,6849055,6951033,7045399,7135175
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,32645,33194,33694,34079,34447,34753,35037,35262,35473,35742,36022,36312,36657,36984,37248,37494,37716,37962,38246,38563,38901,39182
"Population, total",SP.POP.TOTL,Lithuania,LTU,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839
"Population, total",SP.POP.TOTL,Luxembourg,LUX,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,430600,433900,438400,443600,454700,473500,498900,520900,540700,535000,537000,549600,567900,591900,621700,642900,652500,648400,658900,672000,685400,682500
"Population, total",SP.POP.TOTL,Madagascar,MDG,16516338,17032939,17549913,18071854,18606608,19159707,19730909,20318583,20923840,21547280,22183340,22822300,23462438,24109290,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083
"Population, total",SP.POP.TOTL,Malawi,MWI,11315942,11593058,11880440,12181574,12500737,12840031,13198701,13576343,13976417,14395788,14826463,15265022,15709577,16161816,16621538,17085587,17557739,18039715,18528081,19025752,19533888,20047258
"Population, total",SP.POP.TOTL,Malaysia,MYS,22967816,23526538,24102477,24679602,25256772,25836071,26417909,26998389,27570059,28124778,28655776,29162039,29662831,30174265,30696137,31232798,31789685,32355644,32910967,33440596,33889558,34282399
"Population, total",SP.POP.TOTL,Maldives,MDV,282019,286767,291616,296491,301413,306429,313851,324479,336170,348275,360792,373674,386818,400070,413617,428154,443308,458287,473099,487731,502118,516154
"Population, total",SP.POP.TOTL,Mali,MLI,11559290,11912158,12288050,12684955,13102409,13538647,13990139,14457775,14940782,15435539,15945198,16469049,16957033,17459615,18020267,18593022,19191289,19813011,20442030,21068405,21713836,22388630
